,label,z1,z2
111,Central Europe,1.9745166301727295,-1.0060902833938599
112,South West Europe,-2.4278817176818848,-0.7915775179862976
113,South East Europe,1.417757511138916,1.2182323932647705
114,Africa,-2.6899731159210205,-0.8199570775032043
115,South West Europe,1.559338092803955,-1.1664108037948608
116,Central Europe,-0.9905417561531067,-3.449144124984741
117,Africa,2.7525854110717773,1.4303863048553467
118,Africa,-1.4186172485351562,1.624097466468811
119,South America,2.2844014167785645,-1.6841747760772705
120,North Asia,-1.4036774635314941,1.73297917842865
121,South East Europe,1.9673196077346802,-0.7945535182952881
122,South West Europe,1.7224749326705933,-1.1738537549972534
123,Africa,-1.7758876085281372,-3.5652379989624023
124,South East Europe,-2.798433780670166,-0.7642929553985596
125,North America,-1.4101414680480957,0.08471661061048508
